rel_doi	rel_site	rel_date	type	category	rel_num_authors	ym
10.1101/2020.01.28.923011	bioRxiv	2020-01-28	new results	microbiology	11	2020-01
10.1101/2020.01.28.923169	bioRxiv	2020-01-28	new results	microbiology	0	2020-01
10.1101/2020.01.27.20018952	medRxiv	2020-01-29	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-01
10.1101/2020.01.28.922922	bioRxiv	2020-01-29	new results	pharmacology and toxicology	9	2020-01
10.1101/2020.01.29.924100	bioRxiv	2020-01-29	new results	bioinformatics	2	2020-01
10.1101/2020.01.28.20019299	medRxiv	2020-01-30	PUBLISHAHEADOFPRINT	epidemiology	7	2020-01
10.1101/2020.01.28.20019224	medRxiv	2020-01-30	PUBLISHAHEADOFPRINT	epidemiology	5	2020-01
10.1101/2020.01.29.925867	bioRxiv	2020-01-30	new results	microbiology	2	2020-01
10.1101/2020.01.30.926477	bioRxiv	2020-01-30	new results	microbiology	4	2020-01
10.1101/2020.01.30.926881	bioRxiv	2020-01-31	new results	biochemistry	6	2020-01
10.1101/2020.01.30.927806	bioRxiv	2020-01-31	new results	microbiology	12	2020-01
10.1101/2020.01.31.929042	bioRxiv	2020-01-31	new results	molecular biology	6	2020-01
10.1101/2020.01.30.927574	bioRxiv	2020-01-31	new results	pharmacology and toxicology	5	2020-01
10.1101/2020.01.31.20019265	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	epidemiology	4	2020-02
10.1101/2020.01.31.20019901	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.01.30.20019844	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	infectious diseases	21	2020-02
10.1101/2020.01.30.20019877	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.01.30.20019828	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.01.29.20019547	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	epidemiology	9	2020-02
10.1101/2020.01.30.20019836	medRxiv	2020-02-02	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.01.31.928796	bioRxiv	2020-02-02	new results	bioinformatics	8	2020-02
10.1101/2020.01.31.929547	bioRxiv	2020-02-02	new results	microbiology	5	2020-02
10.1101/2020.02.01.929976	bioRxiv	2020-02-02	new results	bioengineering	7	2020-02
10.1101/2020.01.31.929497	bioRxiv	2020-02-02	new results	genetics	5	2020-02
10.1101/2020.01.30.20019612	medRxiv	2020-02-03	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-02
10.1101/2020.01.31.929695	bioRxiv	2020-02-03	new results	biochemistry	5	2020-02
10.1101/2020.02.01.930537	bioRxiv	2020-02-03	new results	genomics	2	2020-02
10.1101/2020.02.01.20019984	medRxiv	2020-02-04	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.01.31.20019935	medRxiv	2020-02-04	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.02.20020016	medRxiv	2020-02-04	PUBLISHAHEADOFPRINT	infectious diseases	9	2020-02
10.1101/2020.02.02.931162	bioRxiv	2020-02-04	new results	bioinformatics	2	2020-02
10.1101/2020.02.03.931766	bioRxiv	2020-02-04	new results	genomics	13	2020-02
10.1101/2020.01.30.927889	bioRxiv	2020-02-04	new results	bioinformatics	4	2020-02
10.1101/2020.02.03.932350	bioRxiv	2020-02-04	new results	bioinformatics	6	2020-02
10.1101/2020.02.03.933226	bioRxiv	2020-02-04	new results	bioinformatics	3	2020-02
10.1101/2020.02.04.20020495	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.04.20020503	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.03.20020263	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	infectious diseases	6	2020-02
10.1101/2020.02.04.20020438	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.03.20020206	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.02.04.20020479	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	9	2020-02
10.1101/2020.02.04.20020461	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.02.04.20020339	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	8	2020-02
10.1101/2020.02.03.20020271	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.04.20020404	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.02.03.20019141	medRxiv	2020-02-05	PUBLISHAHEADOFPRINT	epidemiology	34	2020-02
10.1101/2020.02.05.20020750	medRxiv	2020-02-06	PUBLISHAHEADOFPRINT	epidemiology	12	2020-02
10.1101/2020.02.05.20020792	medRxiv	2020-02-07	PUBLISHAHEADOFPRINT	public and global health	13	2020-02
10.1101/2020.02.05.20020545	medRxiv	2020-02-07	PUBLISHAHEADOFPRINT	allergy and immunology	18	2020-02
10.1101/2020.02.05.920009	bioRxiv	2020-02-07	new results	bioinformatics	3	2020-02
10.1101/2020.02.04.933135	bioRxiv	2020-02-08	contradictory results	bioinformatics	6	2020-02
10.1101/2020.02.07.20021071	medRxiv	2020-02-09	PUBLISHAHEADOFPRINT	epidemiology	9	2020-02
10.1101/2020.02.06.20020941	medRxiv	2020-02-09	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.06.20020974	medRxiv	2020-02-09	PUBLISHAHEADOFPRINT	respiratory medicine	37	2020-02
10.1101/2020.02.10.936898	bioRxiv	2020-02-10	new results	biochemistry	14	2020-02
10.1101/2020.02.05.20020107	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	infectious diseases	1	2020-02
10.1101/2020.02.07.20021196	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.07.20021154	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.07.20021139	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.02.03.20020248	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	11	2020-02
10.1101/2020.02.03.20020289	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	gastroenterology	7	2020-02
10.1101/2020.02.07.20021188	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	public and global health	2	2020-02
10.1101/2020.02.08.20021162	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	public and global health	12	2020-02
10.1101/2020.02.10.20021675	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	14	2020-02
10.1101/2020.02.09.20021477	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.09.20021360	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	9	2020-02
10.1101/2020.02.07.937862	bioRxiv	2020-02-11	new results	microbiology	1	2020-02
10.1101/2020.02.09.20021444	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.02.07.939124	bioRxiv	2020-02-11	new results	genomics	8	2020-02
10.1101/2020.02.08.20021311	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	4	2020-02
10.1101/2020.02.07.939389	bioRxiv	2020-02-11	new results	microbiology	49	2020-02
10.1101/2020.02.09.20021261	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	15	2020-02
10.1101/2020.02.04.934232	bioRxiv	2020-02-11	new results	bioinformatics	7	2020-02
10.1101/2020.02.08.20021253	medRxiv	2020-02-11	PUBLISHAHEADOFPRINT	epidemiology	10	2020-02
10.1101/2020.02.05.935072	bioRxiv	2020-02-11	new results	immunology	5	2020-02
10.1101/2020.02.08.926006	bioRxiv	2020-02-11	new results	microbiology	17	2020-02
10.1101/2020.02.11.20020735	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	public and global health	5	2020-02
10.1101/2020.02.11.20021493	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	infectious diseases	21	2020-02
10.1101/2020.02.08.939553	bioRxiv	2020-02-12	new results	bioinformatics	16	2020-02
10.1101/2020.02.10.20021519	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	epidemiology	2	2020-02
10.1101/2020.02.10.20021584	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	infectious diseases	22	2020-02
10.1101/2020.02.10.20021725	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	epidemiology	4	2020-02
10.1101/2020.02.11.20022095	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	primary care research	4	2020-02
10.1101/2020.02.11.20021956	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	ophthalmology	4	2020-02
10.1101/2020.02.10.20021832	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	hematology	14	2020-02
10.1101/2020.02.10.20021824	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	infectious diseases	10	2020-02
10.1101/2020.02.11.20022111	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.02.11.20022053	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	epidemiology	9	2020-02
10.1101/2020.02.10.20021774	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-02
10.1101/2020.02.08.20021212	medRxiv	2020-02-12	PUBLISHAHEADOFPRINT	infectious diseases	25	2020-02
10.1101/2020.02.05.936013	bioRxiv	2020-02-13	new results	bioinformatics	5	2020-02
10.1101/2020.02.07.939207	bioRxiv	2020-02-13	new results	microbiology	4	2020-02
10.1101/2020.02.05.935387	bioRxiv	2020-02-13	new results	microbiology	15	2020-02
10.1101/2020.02.12.20022426	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	epidemiology	8	2020-02
10.1101/2020.02.12.20021931	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.02.12.20022418	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	urology	5	2020-02
10.1101/2020.02.03.20019497	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-02
10.1101/2020.02.12.20022277	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-02
10.1101/2020.02.12.20022285	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.12.20022327	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	24	2020-02
10.1101/2020.02.12.20022434	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-02
10.1101/2020.02.11.20022228	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.11.20022186	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.11.20022236	medRxiv	2020-02-13	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.10.942136	bioRxiv	2020-02-14	new results	bioinformatics	9	2020-02
10.1101/2020.02.08.939660	bioRxiv	2020-02-14	new results	bioinformatics	7	2020-02
10.1101/2020.02.13.20022707	medRxiv	2020-02-14	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.13.20022251	medRxiv	2020-02-14	PUBLISHAHEADOFPRINT	infectious diseases	1	2020-02
10.1101/2020.02.12.20021386	medRxiv	2020-02-14	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.02.12.20022566	medRxiv	2020-02-14	PUBLISHAHEADOFPRINT	epidemiology	4	2020-02
10.1101/2020.02.11.944462	bioRxiv	2020-02-15	new results	microbiology	8	2020-02
10.1101/2020.02.13.20022673	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	infectious diseases	19	2020-02
10.1101/2020.02.13.20022806	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	epidemiology	5	2020-02
10.1101/2020.02.12.20022467	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.02.14.20023028	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	infectious diseases	11	2020-02
10.1101/2020.02.13.20022830	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-02
10.1101/2020.02.14.20022913	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.02.14.20021535	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.14.20022897	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	epidemiology	11	2020-02
10.1101/2020.02.14.20023036	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	public and global health	3	2020-02
10.1101/2020.02.14.20023127	medRxiv	2020-02-17	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-02
10.1101/2020.02.17.951848	bioRxiv	2020-02-18	new results	biochemistry	5	2020-02
10.1101/2020.02.08.939892	bioRxiv	2020-02-18	new results	genomics	16	2020-02
10.1101/2020.02.13.945485	bioRxiv	2020-02-18	new results	microbiology	14	2020-02
10.1101/2020.02.10.942748	bioRxiv	2020-02-18	new results	evolutionary biology	7	2020-02
10.1101/2020.02.10.942185	bioRxiv	2020-02-18	new results	microbiology	4	2020-02
10.1101/2020.02.13.20022715	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.02.12.20022400	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.13.20022822	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.02.14.20023168	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	2	2020-02
10.1101/2020.02.14.20022939	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.16.20023770	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.17.20024034	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.16.20023465	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	5	2020-02
10.1101/2020.02.15.20023499	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	public and global health	4	2020-02
10.1101/2020.02.16.20023564	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.16.20023671	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	infectious diseases	48	2020-02
10.1101/2020.02.16.20023838	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	4	2020-02
10.1101/2020.02.16.20023804	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.15.20023440	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.02.16.20023606	medRxiv	2020-02-18	PUBLISHAHEADOFPRINT	epidemiology	1	2020-02
10.1101/2020.02.18.955195	bioRxiv	2020-02-19	new results	biophysics	7	2020-02
10.1101/2020.02.18.20021881	medRxiv	2020-02-19	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-02
10.1101/2020.02.16.20023903	medRxiv	2020-02-19	PUBLISHAHEADOFPRINT	infectious diseases	20	2020-02
10.1101/2020.02.15.20023234	medRxiv	2020-02-19	PUBLISHAHEADOFPRINT	epidemiology	4	2020-02
10.1101/2020.02.17.20024018	medRxiv	2020-02-19	PUBLISHAHEADOFPRINT	public and global health	14	2020-02
10.1101/2020.02.16.20023614	medRxiv	2020-02-19	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-02
10.1101/2020.02.15.950568	bioRxiv	2020-02-20	new results	evolutionary biology	4	2020-02
10.1101/2020.02.12.946087	bioRxiv	2020-02-20	new results	immunology	6	2020-02
10.1101/2020.02.12.945576	bioRxiv	2020-02-20	new results	immunology	10	2020-02
10.1101/2020.02.17.951335	bioRxiv	2020-02-20	new results	microbiology	26	2020-02
10.1101/2020.02.18.954628	bioRxiv	2020-02-20	new results	pathology	9	2020-02
10.1101/2020.02.19.956581	bioRxiv	2020-02-20	new results	biochemistry	6	2020-02
10.1101/2020.02.19.957118	bioRxiv	2020-02-20	new results	microbiology	11	2020-02
10.1101/2020.02.19.950253	bioRxiv	2020-02-20	new results	pathology	3	2020-02
10.1101/2020.02.16.951723	bioRxiv	2020-02-20	new results	microbiology	9	2020-02
10.1101/2020.02.17.952879	bioRxiv	2020-02-20	new results	biochemistry	5	2020-02
10.1101/2020.02.19.956946	bioRxiv	2020-02-20	new results	biochemistry	5	2020-02
10.1101/2020.02.19.956235	bioRxiv	2020-02-20	new results	biophysics	11	2020-02
10.1101/2020.02.16.20023655	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	3	2020-02
10.1101/2020.02.17.20023630	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	16	2020-02
10.1101/2020.02.17.20023721	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	20	2020-02
10.1101/2020.02.17.20024075	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.17.20024166	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	intensive care and critical care medicine	7	2020-02
10.1101/2020.02.17.20023747	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.17.20024257	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.18.20023242	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	nephrology	10	2020-02
10.1101/2020.02.18.20024570	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.18.20024315	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	13	2020-02
10.1101/2020.02.18.20024448	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-02
10.1101/2020.02.18.20024364	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	infectious diseases	14	2020-02
10.1101/2020.02.18.20024661	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	epidemiology	7	2020-02
10.1101/2020.02.18.20024414	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	epidemiology	2	2020-02
10.1101/2020.02.16.20023820	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	epidemiology	2	2020-02
10.1101/2020.02.18.20024513	medRxiv	2020-02-20	PUBLISHAHEADOFPRINT	epidemiology	10	2020-02
10.1101/2020.02.16.951913	bioRxiv	2020-02-21	new results	immunology	1	2020-02
10.1101/2020.02.17.951939	bioRxiv	2020-02-21	new results	immunology	9	2020-02
10.1101/2020.02.17.952903	bioRxiv	2020-02-21	new results	microbiology	5	2020-02
10.1101/2020.02.20.958272	bioRxiv	2020-02-21	new results	biophysics	2	2020-02
10.1101/2020.02.19.955484	bioRxiv	2020-02-21	new results	microbiology	3	2020-02
10.1101/2020.02.20.957472	bioRxiv	2020-02-21	new results	microbiology	10	2020-02
10.1101/2020.02.17.952895	bioRxiv	2020-02-21	new results	genomics	7	2020-02
10.1101/2020.02.21.959817	bioRxiv	2020-02-21	new results	microbiology	25	2020-02
10.1101/2020.02.15.20023333	medRxiv	2020-02-21	PUBLISHAHEADOFPRINT	health systems and quality improvement	10	2020-02
10.1101/2020.02.20.20025957	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	health systems and quality improvement	10	2020-02
10.1101/2020.02.19.20024885	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	18	2020-02
10.1101/2020.02.21.20026328	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	24	2020-02
10.1101/2020.02.19.20025031	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	28	2020-02
10.1101/2020.02.19.20025387	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.02.22.20024927	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.20.20025510	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	22	2020-02
10.1101/2020.02.19.20025163	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-02
10.1101/2020.02.20.20025866	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.22.20025460	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	15	2020-02
10.1101/2020.02.20.20025536	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	2	2020-02
10.1101/2020.02.20.20025593	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	10	2020-02
10.1101/2020.02.20.20025973	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	5	2020-02
10.1101/2020.02.19.20025296	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	23	2020-02
10.1101/2020.02.19.20025023	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	14	2020-02
10.1101/2020.02.19.20025288	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-02
10.1101/2020.02.20.20025841	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	13	2020-02
10.1101/2020.02.20.20025619	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	infectious diseases	14	2020-02
10.1101/2020.02.18.20024281	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	15	2020-02
10.1101/2020.02.19.20025148	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	5	2020-02
10.1101/2020.02.20.20023572	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	3	2020-02
10.1101/2020.02.18.20024539	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	5	2020-02
10.1101/2020.02.19.20024851	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	5	2020-02
10.1101/2020.02.19.20025262	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	0	2020-02
10.1101/2020.02.19.20025395	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	2	2020-02
10.1101/2020.02.19.20025452	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.20.20025882	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	29	2020-02
10.1101/2020.02.21.20026070	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	20	2020-02
10.1101/2020.02.21.20026187	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.21.20026112	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	epidemiology	6	2020-02
10.1101/2020.02.15.20023457	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	gastroenterology	16	2020-02
10.1101/2020.02.20.20025338	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	psychiatry and clinical psychology	15	2020-02
10.1101/2020.02.21.20026146	medRxiv	2020-02-23	PUBLISHAHEADOFPRINT	public and global health	8	2020-02
10.1101/2020.02.19.20025155	medRxiv	2020-02-24	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.20.20025874	medRxiv	2020-02-24	PUBLISHAHEADOFPRINT	infectious diseases	16	2020-02
10.1101/2020.02.23.961912	bioRxiv	2020-02-24	new results	biochemistry	4	2020-02
10.1101/2020.02.23.20024935	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	ophthalmology	7	2020-02
10.1101/2020.02.22.20026500	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	11	2020-02
10.1101/2020.02.20.20025601	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	4	2020-02
10.1101/2020.02.19.20025239	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.02.25.20024711	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	14	2020-02
10.1101/2020.02.22.20025791	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	13	2020-02
10.1101/2020.02.20.20025999	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	16	2020-02
10.1101/2020.02.23.20026864	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	8	2020-02
10.1101/2020.02.21.20026179	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	7	2020-02
10.1101/2020.02.22.20026617	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	34	2020-02
10.1101/2020.02.23.20026856	medRxiv	2020-02-25	PUBLISHAHEADOFPRINT	infectious diseases	16	2020-02
